magnitude,depth,cdi,mmi,sig,alert
5.07,52.0,0.47,8.43,1523.0,red
5.89,561.2,2.76,3.57,329.1,yellow
6.62,167.4,7.07,9.34,1721.3,red
7.59,380.3,0.63,9.73,678.0,red
4.2,616.7,8.39,6.14,610.6,orange
8.16,457.4,0.04,2.29,112.4,red
7.27,375.4,2.47,4.37,875.1,orange
4.43,230.4,7.41,8.18,196.2,red
8.54,236.4,3.16,4.31,447.4,red
8.79,470.3,1.02,1.78,570.5,red
4.32,695.9,3.6,6.01,1455.9,orange
5.44,465.0,2.7,8.61,1575.9,red
8.19,392.7,8.43,8.16,544.4,red
7.89,512.8,3.13,2.58,1545.7,red
4.96,328.3,7.89,7.05,1543.0,orange
5.09,46.8,8.92,2.98,1376.4,green
5.93,395.8,4.34,2.96,264.1,yellow
6.52,670.5,9.1,8.87,1242.6,red
7.21,126.8,3.77,3.25,1701.0,orange
5.92,484.6,9.64,3.37,1228.6,yellow
6.41,144.6,0.89,1.01,596.9,yellow
7.89,377.4,6.87,8.84,901.0,red
4.19,72.2,4.94,8.13,1162.3,red
5.31,318.0,3.88,6.65,919.0,orange
7.71,530.5,6.33,7.75,215.9,red
8.66,246.6,7.04,2.37,561.7,red
6.66,467.1,0.04,5.12,1444.3,orange
6.77,557.8,1.67,4.16,1550.6,orange
4.56,649.4,7.13,1.84,247.1,green
6.33,168.1,6.66,5.38,1714.3,yellow
6.77,282.5,9.66,9.29,591.9,red
5.26,110.9,7.61,1.36,1192.2,green
5.4,694.8,9.51,3.62,1353.3,green
5.96,649.3,7.03,2.87,1461.5,yellow
4.1,380.3,2.98,3.14,1702.3,green
5.67,590.2,1.05,9.18,563.3,red
5.1,367.1,7.82,5.21,1545.3,yellow
5.7,438.4,6.44,5.2,237.0,yellow
4.62,66.9,0.48,7.85,1269.1,orange
8.63,529.9,3.6,2.39,1335.6,red
7.09,93.8,9.57,5.39,1219.9,orange
7.53,579.1,5.0,4.87,454.2,red
8.1,548.5,4.33,6.37,1571.5,red
6.59,497.6,4.58,10.0,303.9,red
4.45,30.1,2.09,7.93,96.5,orange
6.79,215.7,3.69,4.58,1291.4,orange
7.05,187.9,3.7,8.45,855.9,red
7.88,255.3,0.52,2.54,1528.4,red
6.24,65.9,7.68,1.27,690.1,yellow
4.66,656.2,4.17,2.84,302.9,green
5.48,389.9,8.22,4.06,1505.6,yellow
5.89,217.3,8.5,5.6,988.0,yellow
7.36,280.9,2.12,6.54,340.6,orange
6.97,315.8,6.57,9.2,1296.7,red
5.85,422.4,4.72,5.59,920.0,yellow
9.13,363.4,8.8,5.51,1087.8,red
7.15,644.0,2.16,1.45,829.6,orange
5.23,350.4,6.78,1.31,1491.7,green
4.53,694.5,6.08,5.96,1493.2,yellow
4.79,596.7,2.95,4.94,1276.9,yellow
5.28,149.9,1.37,8.55,189.7,red
4.84,651.8,6.52,2.45,1509.9,green
4.97,85.9,7.39,1.22,1207.8,green
5.48,573.1,3.16,5.04,1254.6,yellow
4.9,269.5,6.45,3.14,653.4,green
8.66,615.2,3.95,1.45,1582.7,red
4.42,608.3,7.13,7.52,1305.7,orange
6.73,565.1,1.99,2.0,202.7,orange
6.13,554.1,8.9,6.47,734.0,orange
9.11,216.8,2.87,3.53,1595.5,red
4.58,61.2,3.68,2.56,85.0,green
6.07,285.1,0.58,4.42,1730.5,yellow
9.04,125.6,1.12,8.21,1222.5,red
8.5,488.0,5.16,4.53,1136.5,red
8.25,245.5,2.68,7.76,487.0,red
5.34,683.0,8.35,2.13,447.8,green
4.89,450.5,0.15,7.95,1695.7,orange
7.48,576.6,3.79,3.13,536.9,orange
8.83,97.1,3.37,7.1,1395.9,red
6.9,604.1,0.19,6.09,707.6,orange
6.97,646.3,1.24,9.36,250.7,red
5.46,343.5,4.14,4.49,19.3,yellow
8.0,426.3,4.93,1.6,979.7,red
4.97,536.5,4.04,1.17,1756.4,green
5.68,126.5,5.31,8.44,664.4,red
6.21,354.3,5.95,5.72,642.9,yellow
6.64,282.1,0.1,7.98,619.4,orange
5.26,106.7,4.64,3.11,937.0,green
4.6,260.4,9.63,4.11,793.2,yellow
7.18,52.4,5.19,1.27,1583.8,orange
5.5,22.9,6.78,9.65,909.9,red
7.02,98.9,3.12,7.01,914.0,orange
4.8,674.4,7.74,9.4,249.1,red
6.5,386.9,7.73,3.39,1768.9,orange
6.77,676.2,5.21,6.5,450.0,orange
4.27,305.6,9.76,7.11,132.1,orange
5.75,221.7,1.26,3.86,1193.7,yellow
4.7,356.8,0.17,8.63,1071.7,red
4.33,310.5,7.7,9.52,747.3,red
9.15,78.4,8.07,8.96,759.9,red
5.68,450.4,1.2,7.65,1413.1,orange
8.21,155.1,2.66,3.5,352.3,red
5.32,435.6,0.18,3.53,1476.5,green
7.54,456.9,2.93,9.67,1167.7,red
7.95,110.7,7.73,1.09,754.1,red
7.1,47.6,5.18,7.44,824.5,orange
6.45,547.6,3.48,7.36,462.0,orange
6.14,324.6,3.72,6.6,1353.8,orange
5.81,45.4,0.01,9.91,923.2,red
8.83,696.4,3.0,3.81,577.5,red
8.32,45.2,6.46,4.06,1072.9,red
9.02,488.0,9.74,1.71,1792.3,red
4.65,688.7,8.47,4.99,783.5,yellow
7.8,171.2,0.24,3.35,1657.2,red
8.88,103.9,8.99,4.09,621.0,red
4.94,89.4,7.83,8.51,98.5,red
4.35,215.8,7.8,9.42,367.6,red
7.85,75.2,4.58,2.67,753.7,red
6.99,486.1,3.98,4.35,395.3,orange
8.38,48.3,3.03,9.36,0.4,red
4.73,359.0,0.66,1.56,1647.0,green
8.14,697.7,2.28,1.83,1519.0,red
5.05,570.7,2.47,2.47,1336.1,green
4.85,432.6,4.84,6.36,302.1,orange
4.85,217.8,7.47,2.35,216.7,green
8.24,438.6,4.74,9.71,121.7,red
7.46,371.3,0.58,5.02,1303.3,orange
6.72,301.1,9.58,5.51,1671.9,orange
5.87,95.8,9.43,3.22,775.0,yellow
8.56,621.2,7.85,5.24,214.5,red
6.04,317.6,9.91,6.96,922.3,orange
8.25,140.3,5.44,7.76,627.9,red
6.28,260.6,9.63,7.78,674.7,orange
5.96,292.8,0.76,6.2,1118.4,orange
6.41,580.1,3.66,9.14,1293.7,red
5.57,514.9,2.25,8.36,199.1,red
7.89,539.7,1.96,7.81,64.1,red
6.61,12.7,1.41,1.5,1789.8,orange
5.21,294.2,6.22,1.06,418.9,green
8.68,339.5,7.81,2.91,96.9,red
6.0,18.3,5.78,6.97,341.8,orange
6.83,185.6,1.47,4.7,70.1,orange
8.71,533.4,8.11,4.62,705.3,red
7.25,100.3,6.36,8.96,1444.3,red
4.61,377.0,3.88,9.06,614.2,red
8.89,154.6,6.74,9.18,799.5,red
7.26,13.4,2.6,3.82,1216.1,orange
5.74,172.6,3.45,7.22,916.0,orange
4.72,683.2,9.17,3.44,1550.6,green
8.13,562.1,2.91,2.72,1558.9,red
7.22,671.9,4.7,2.66,17.8,orange
6.77,344.1,8.9,4.08,1400.5,orange
8.65,81.3,7.08,4.87,829.3,red
8.1,385.8,0.62,8.48,1779.9,red
4.79,320.8,1.47,2.08,869.8,green
5.62,591.8,0.08,7.61,1776.4,orange
5.29,73.2,6.31,5.78,1358.2,yellow
7.87,344.3,4.48,3.59,447.5,red
4.17,109.3,1.34,5.44,969.1,yellow
6.96,230.6,9.58,3.7,1785.8,orange
7.96,517.5,5.3,6.36,1543.6,red
8.56,335.8,2.42,4.9,175.3,red
5.78,266.2,5.01,2.48,1271.5,yellow
8.27,279.2,6.8,2.05,622.0,red
4.58,324.3,0.76,5.92,12.6,yellow
8.4,550.6,2.75,9.12,726.3,red
4.66,625.0,8.07,4.1,422.6,yellow
6.07,669.0,4.6,7.6,1474.0,orange
8.15,551.9,5.47,6.93,607.2,red
4.78,224.2,4.33,9.38,1489.5,red
5.19,483.3,0.44,8.39,1.1,red
7.76,309.1,1.66,6.1,554.1,red
7.74,182.0,4.46,6.91,434.1,red
7.33,589.4,2.09,9.09,420.4,red
7.61,31.7,0.5,4.6,122.7,red
6.82,631.7,8.44,3.94,336.8,orange
5.31,325.7,9.81,1.1,1000.0,green
5.8,447.9,7.93,8.44,524.4,red
4.94,463.3,8.54,8.21,751.3,red
8.72,627.1,2.42,1.94,678.4,red
7.03,447.5,9.61,6.19,1576.6,orange
6.08,431.7,1.97,5.18,1629.5,yellow
6.4,51.3,9.51,2.07,887.3,yellow
8.93,365.3,9.95,9.83,594.3,red
4.8,109.4,7.12,2.93,192.2,green
7.05,517.5,9.81,1.61,1716.1,orange
6.63,361.0,5.7,6.35,108.4,orange
7.18,477.8,2.6,7.65,535.8,orange
4.09,34.0,4.37,1.29,536.5,green
8.54,63.9,5.94,6.93,576.7,red
8.85,502.8,0.73,5.79,295.7,red
6.94,55.1,6.22,1.93,1409.7,orange
7.62,54.5,9.81,2.55,220.5,red
8.8,13.4,1.9,6.11,1142.8,red
7.68,669.8,7.93,3.67,222.9,red
4.79,517.6,9.08,9.44,127.0,red
7.0,250.5,9.44,8.37,1637.0,red
7.15,211.1,9.6,9.85,342.2,red
6.21,248.0,5.21,3.34,1478.3,yellow
7.83,543.4,9.77,9.73,980.3,red
8.86,464.7,7.57,4.88,140.1,red
8.81,133.7,1.62,4.13,1719.8,red
6.34,126.0,4.77,1.45,444.5,yellow
4.59,73.4,7.18,1.47,1547.4,green
9.12,463.9,2.47,7.23,303.9,red
8.36,536.2,6.41,5.12,1537.1,red
4.65,189.2,6.67,3.04,23.8,green
8.79,19.6,1.63,6.53,921.2,red
8.52,62.1,5.65,3.28,1385.0,red
6.7,677.7,7.72,6.2,1682.6,orange
7.07,210.3,4.99,4.23,1636.6,orange
6.07,539.6,0.12,8.41,1475.3,red
4.28,439.1,0.09,8.39,1598.7,red
5.74,270.4,3.57,5.3,358.6,yellow
8.17,148.0,9.26,4.16,511.5,red
4.02,89.4,2.29,4.26,520.1,yellow
5.73,432.4,6.34,8.25,678.7,red
6.07,543.4,2.22,3.95,708.0,yellow
6.79,452.5,3.22,2.88,980.2,orange
8.78,373.6,8.48,1.76,287.8,red
5.8,34.2,7.29,5.2,1244.2,yellow
5.8,678.1,0.95,5.34,301.6,yellow
7.84,560.1,4.29,8.57,558.6,red
6.35,208.5,0.29,2.99,906.0,yellow
5.17,686.1,4.81,4.43,1433.6,yellow
6.35,423.3,6.62,8.28,1331.0,red
4.73,409.8,1.19,8.41,1162.0,red
4.92,524.9,2.89,4.46,280.4,yellow
6.59,569.2,3.98,5.13,984.7,orange
6.18,461.3,9.2,3.73,157.4,yellow
8.76,94.0,9.93,9.39,679.3,red
5.88,240.1,0.45,2.07,744.3,yellow
7.02,650.0,7.61,9.4,71.7,red
7.29,161.1,3.72,7.15,493.2,orange
4.07,263.7,3.92,5.78,1720.2,yellow
7.45,305.3,7.54,1.29,1716.5,orange
4.93,310.4,9.18,5.28,634.2,yellow
9.0,431.0,9.51,4.67,77.6,red
4.77,660.4,5.77,2.45,322.4,green
6.16,172.3,3.57,6.91,706.0,orange
4.44,89.4,7.88,9.74,1706.0,red
9.18,142.2,2.51,6.06,254.2,red
6.61,621.4,5.64,7.43,1374.3,orange
7.1,453.8,3.59,1.62,195.6,orange
4.35,203.7,6.57,4.76,1766.3,yellow
7.9,572.1,2.4,2.05,686.9,red
5.09,603.7,1.92,6.52,1395.4,orange
8.67,593.3,9.18,9.45,616.7,red
5.07,643.7,1.02,6.96,1129.8,orange
4.99,180.3,5.06,1.69,345.6,green
4.19,529.8,2.21,4.19,262.8,yellow
6.45,325.1,0.39,5.96,1688.5,yellow
6.94,590.2,0.36,4.63,1651.8,orange
4.34,511.3,1.75,8.5,1597.4,red
8.03,544.6,8.67,8.33,1125.8,red
6.36,461.0,2.82,6.51,1454.9,orange
6.73,128.3,9.5,4.36,124.3,orange
6.29,383.8,5.82,3.3,602.6,yellow
6.08,689.3,4.37,1.95,564.7,yellow
6.91,656.5,5.8,4.19,1144.2,orange
4.81,35.0,5.17,4.72,640.7,yellow
4.95,119.5,7.59,7.08,267.3,orange
8.48,96.6,2.82,6.92,1073.6,red
8.92,509.6,3.53,1.63,1465.9,red
5.94,573.4,8.94,4.56,687.8,yellow
5.41,153.4,9.46,2.64,238.1,green
7.35,356.6,8.93,2.41,354.0,orange
6.13,589.3,4.19,8.45,427.5,red
4.13,514.3,7.8,1.38,539.8,green
4.81,381.9,4.76,4.77,1157.0,yellow
7.72,415.3,4.98,2.51,1081.7,red
7.43,358.3,2.05,8.91,1252.9,red
4.14,211.8,5.91,6.01,652.5,orange
5.15,397.7,1.86,3.08,1483.2,green
5.2,483.8,3.32,5.52,367.4,yellow
7.49,612.0,8.55,7.58,844.3,orange
4.1,447.2,2.07,9.62,1441.7,red
4.54,534.0,0.71,2.98,324.3,green
8.16,116.2,0.69,8.98,197.8,red
4.93,325.8,9.41,9.41,1590.6,red
7.39,11.5,5.07,9.25,617.3,red
5.24,176.4,4.09,6.72,1231.0,orange
4.52,509.9,8.11,6.67,45.6,orange
5.26,694.3,8.36,4.63,1242.1,yellow
7.76,73.9,3.32,7.77,569.0,red
8.45,284.0,6.94,5.78,100.3,red
8.32,561.0,7.71,7.1,1097.7,red
6.07,146.8,6.55,4.86,433.4,yellow
7.47,390.8,1.52,7.58,696.3,orange
5.07,514.5,8.76,8.42,145.0,red
5.52,433.1,5.39,2.32,264.9,yellow
8.66,135.7,2.82,8.5,536.4,red
4.07,252.0,4.25,5.86,161.6,yellow
4.44,549.7,0.38,8.6,1639.5,red
5.08,390.2,1.28,4.88,10.9,yellow
4.14,8.6,7.66,4.41,870.9,yellow
4.94,533.9,0.0,9.24,221.8,red
7.03,29.5,4.17,3.26,553.8,orange
6.19,523.3,5.23,8.6,1666.9,red
8.64,145.7,0.55,5.36,291.1,red
8.25,670.9,9.73,5.63,1738.5,red
5.78,260.7,2.26,3.78,370.4,yellow
5.35,232.2,3.04,6.16,1334.8,orange
5.97,108.5,3.04,3.93,984.0,yellow
7.07,217.4,2.3,1.35,1592.1,orange
5.39,614.3,0.01,3.45,997.2,green
7.25,697.5,7.29,1.06,962.2,orange
6.13,261.0,9.67,9.81,351.8,red
6.87,316.8,2.24,9.69,299.2,red
6.27,506.8,6.63,4.56,1649.7,yellow
5.53,620.9,7.42,7.56,590.1,orange
8.93,417.2,8.48,4.11,669.7,red
7.97,277.1,4.23,7.04,1367.7,red
4.73,291.8,3.03,8.25,609.9,red
8.52,488.5,3.25,9.52,1713.7,red
6.53,7.2,7.13,4.6,1328.3,orange
8.65,435.6,8.17,8.05,1075.4,red
8.16,252.1,1.82,3.39,1585.6,red
6.21,557.0,3.71,9.91,89.3,red
4.12,69.6,9.02,1.23,462.7,green
5.4,413.8,8.07,6.43,837.1,orange
6.82,339.3,9.85,6.94,408.6,orange
7.29,451.4,7.54,7.19,1339.0,orange
5.34,50.1,3.93,2.08,1654.6,green
4.72,408.1,5.91,9.45,762.8,red
8.34,395.2,6.61,2.63,615.8,red
9.12,394.7,0.78,6.6,1730.8,red
6.73,424.4,5.44,3.0,800.7,orange
4.89,475.1,7.09,3.76,880.3,green
5.42,564.5,1.67,5.92,633.0,yellow
4.1,192.5,7.81,4.75,1637.2,yellow
8.75,578.4,5.84,2.44,1024.1,red
4.61,351.3,9.52,2.54,1371.9,green
7.0,58.6,0.42,4.76,1461.3,orange
5.43,45.7,2.65,7.82,615.3,orange
6.88,237.3,6.02,9.08,780.6,red
7.39,550.5,2.97,1.76,1527.2,orange
8.31,496.8,7.14,4.54,653.9,red
5.07,553.1,7.59,1.9,1429.1,green
4.06,364.5,1.03,1.15,1693.8,green
4.71,310.9,5.14,6.96,1121.8,orange
8.68,107.5,5.09,6.42,1334.9,red
8.54,233.1,3.69,2.47,1449.2,red
7.11,306.6,9.33,3.1,1521.1,orange
7.12,66.6,8.28,1.21,711.1,orange
7.46,158.3,6.97,8.51,92.3,red
4.91,420.8,7.14,9.77,723.4,red
8.75,516.3,4.62,2.22,1212.8,red
6.18,698.9,9.21,3.08,810.6,yellow
5.99,653.5,6.95,8.82,1348.1,red
6.7,451.6,7.29,9.34,642.6,red
4.24,297.8,8.62,4.78,1142.5,yellow
4.86,447.1,2.74,1.46,335.6,green
7.84,551.0,8.07,1.35,1348.9,red
4.43,87.2,1.95,6.17,982.3,orange
7.14,289.9,3.45,4.54,367.3,orange
5.28,588.7,3.36,1.26,525.4,green
6.02,271.8,9.79,6.25,1347.5,orange
5.5,402.5,8.57,1.1,868.7,yellow
5.85,413.5,7.01,8.09,388.9,red
7.74,133.2,7.27,3.76,1741.1,red
5.55,256.8,5.62,1.36,1287.2,yellow
6.95,237.5,9.47,6.3,1722.8,orange
6.48,23.2,4.96,4.58,768.8,yellow
7.45,21.8,3.81,9.76,855.2,red
8.87,583.0,1.63,5.9,1616.3,red
7.81,194.8,7.86,3.48,945.1,red
5.12,365.1,7.34,7.38,1273.1,orange
4.16,212.6,3.84,3.44,453.9,green
5.36,658.8,0.25,9.14,804.1,red
7.09,185.2,8.39,4.37,222.2,orange
4.27,303.6,0.11,5.95,370.8,yellow
6.58,611.5,7.04,1.46,1.7,orange
7.1,590.1,9.7,4.84,70.7,orange
5.74,134.3,4.38,8.49,1759.1,red
8.01,562.8,2.35,8.25,436.2,red
4.55,323.4,7.05,3.02,1194.0,green
4.39,340.7,8.17,3.03,1510.4,green
7.79,97.8,5.46,8.36,991.2,red
6.58,61.0,9.67,9.37,275.7,red
7.58,510.9,0.52,1.86,1310.6,red
6.26,350.0,5.05,5.05,1080.5,yellow
5.28,308.6,7.18,4.04,1316.3,yellow
8.26,512.0,8.63,8.84,1385.5,red
8.16,537.0,1.79,1.75,1755.7,red
7.61,115.4,8.0,2.9,1032.4,red
5.42,429.1,5.53,7.77,615.0,orange
7.07,99.1,3.97,1.46,1167.2,orange
5.88,527.2,1.32,5.43,123.2,yellow
4.48,461.6,8.65,4.98,1615.3,yellow
8.77,669.8,1.57,4.01,214.9,red
4.71,52.9,3.1,4.55,590.1,yellow
8.94,44.7,2.9,5.77,1468.3,red
6.32,201.1,8.71,2.45,1075.2,yellow
